YEAR,Region,Country,LOC,Block,HYBRID,Pre-commercial name,Commercial name,Family relatedness,density,mean_yield,Comment,NEW LOC,NEW Block
2016,Early central East,Poland,POLAND3,2,DKC3050,EN2930,DKC3050,Female Group 31,65,13.3875,,POLAND3,2
2016,Early central East,Poland,POLAND3,2,DKC3050,EN2930,DKC3050,Female Group 31,80,14.58974359,,POLAND3,2
2016,Early central East,Poland,POLAND3,2,DKC3050,EN2930,DKC3050,Female Group 31,95,15.48571429,,POLAND3,2
2016,Early central East,Poland,POLAND3,2,DKC3050,EN2930,DKC3050,Female Group 31,110,15.65263158,,POLAND3,2
2016,Early central East,Poland,POLAND3,2,DKC3361,EP3361,DKC3361,Female Group 9,50,11.32857143,,POLAND3,2
2016,Early central East,Poland,POLAND3,2,DKC3361,EP3361,DKC3361,Female Group 9,65,12.12682927,,POLAND3,2
2016,Early central East,Poland,POLAND3,2,DKC3361,EP3361,DKC3361,Female Group 9,80,14.03684211,,POLAND3,2
2016,Early central East,Poland,POLAND3,2,DKC3361,EP3361,DKC3361,Female Group 9,95,14.41025641,,POLAND3,2
2016,Early central East,Poland,POLAND3,2,DKC3361,EP3361,DKC3361,Female Group 9,110,14.835,,POLAND3,2
2016,Early central East,Poland,POLAND3,2,DKC3441,EM3456,DKC3441,Female Group 31,50,12.42439024,,POLAND3,2
2016,Early central East,Poland,POLAND3,2,DKC3441,EM3456,DKC3441,Female Group 31,65,13.37435897,,POLAND3,2
2016,Early central East,Poland,POLAND3,2,DKC3441,EM3456,DKC3441,Female Group 31,80,14.80810811,,POLAND3,2
2016,Early central East,Poland,POLAND3,2,DKC3441,EM3456,DKC3441,Female Group 31,95,15.25641026,,POLAND3,2
2016,Early central East,Poland,POLAND3,2,DKC3441,EM3456,DKC3441,Female Group 31,110,15.17105263,,POLAND3,2
2016,Early central East,Poland,POLAND3,2,DKC3452,EN3357,DKC3452,Female Group 32,50,11.06315789,Drop - can be excluded,POLAND3,2
2016,Early central East,Poland,POLAND3,2,DKC3452,EN3357,DKC3452,Female Group 32,65,13.10555556,Drop - can be excluded,POLAND3,2
2016,Early central East,Poland,POLAND3,2,DKC3452,EN3357,DKC3452,Female Group 32,80,14.67142857,Drop - can be excluded,POLAND3,2
2016,Early central East,Poland,POLAND3,2,DKC3452,EN3357,DKC3452,Female Group 32,95,15.1,Drop - can be excluded,POLAND3,2
2016,Early central East,Poland,POLAND3,2,DKC3452,EN3357,DKC3452,Female Group 32,110,15.45882353,Drop - can be excluded,POLAND3,2
2016,Early central East,Poland,POLAND3,2,DKC3568,EP3565,DKC3568,Female Group 28,50,11.3125,,POLAND3,2
2016,Early central East,Poland,POLAND3,2,DKC3568,EP3565,DKC3568,Female Group 28,65,12.72,,POLAND3,2
2016,Early central East,Poland,POLAND3,2,DKC3568,EP3565,DKC3568,Female Group 28,80,13.52368421,,POLAND3,2
2016,Early central East,Poland,POLAND3,2,DKC3568,EP3565,DKC3568,Female Group 28,95,14.23170732,,POLAND3,2
2016,Early central East,Poland,POLAND3,2,DKC3568,EP3565,DKC3568,Female Group 28,110,14.02105263,,POLAND3,2
2016,Early central East,Poland,POLAND3,2,DKC3579,EQ3569,DKC3579,Female Group 9,50,11.78181818,,POLAND3,2
2016,Early central East,Poland,POLAND3,2,DKC3579,EQ3569,DKC3579,Female Group 9,65,13.36097561,,POLAND3,2
2016,Early central East,Poland,POLAND3,2,DKC3579,EQ3569,DKC3579,Female Group 9,80,14.87857143,,POLAND3,2
2016,Early central East,Poland,POLAND3,2,DKC3579,EQ3569,DKC3579,Female Group 9,95,16.0195122,,POLAND3,2
2016,Early central East,Poland,POLAND3,2,DKC3579,EQ3569,DKC3579,Female Group 9,110,16.11944444,,POLAND3,2
2016,Early central East,Poland,POLAND3,2,EQ3139,EQ3139,EQ3139,Female Group 31,50,11.9952381,,POLAND3,2
2016,Early central East,Poland,POLAND3,2,EQ3139,EQ3139,EQ3139,Female Group 31,65,13.13333333,,POLAND3,2
2016,Early central East,Poland,POLAND3,2,EQ3139,EQ3139,EQ3139,Female Group 31,80,14.87179487,,POLAND3,2
